symbol,date,price
MSFT,Jan-00,39.81
MSFT,Feb-00,36.35
MSFT,Mar-00,43.22
MSFT,Apr-00,28.37
MSFT,May-00,25.45
MSFT,Jun-00,32.54
MSFT,Jul-00,28.4
MSFT,Aug-00,28.4
MSFT,Sep-00,24.53
MSFT,Oct-00,28.02
MSFT,Nov-00,23.34
MSFT,Dec-00,17.65
MSFT,Jan-01,24.84
MSFT,Feb-01,24
MSFT,Mar-01,22.25
MSFT,Apr-01,27.56
MSFT,May-01,28.14
MSFT,Jun-01,29.7
MSFT,Jul-01,26.93
MSFT,Aug-01,23.21
MSFT,Sep-01,20.82
MSFT,Oct-01,23.65
MSFT,Nov-01,26.12
MSFT,Dec-01,26.95
MSFT,Jan-02,25.92
MSFT,Feb-02,23.73
MSFT,Mar-02,24.53
MSFT,Apr-02,21.26
MSFT,May-02,20.71
MSFT,Jun-02,22.25
MSFT,Jul-02,19.52
MSFT,Aug-02,19.97
MSFT,Sep-02,17.79
MSFT,Oct-02,21.75
MSFT,Nov-02,23.46
MSFT,Dec-02,21.03
MSFT,Jan-03,19.31
MSFT,Feb-03,19.34
MSFT,Mar-03,19.76
MSFT,Apr-03,20.87
MSFT,May-03,20.09
MSFT,Jun-03,20.93
MSFT,Jul-03,21.56
MSFT,Aug-03,21.65
MSFT,Sep-03,22.69
MSFT,Oct-03,21.45
MSFT,Nov-03,21.1
MSFT,Dec-03,22.46
MSFT,Jan-04,22.69
MSFT,Feb-04,21.77
MSFT,Mar-04,20.46
MSFT,Apr-04,21.45
MSFT,May-04,21.53
MSFT,Jun-04,23.44
MSFT,Jul-04,23.38
MSFT,Aug-04,22.47
MSFT,Sep-04,22.76
MSFT,Oct-04,23.02
MSFT,Nov-04,24.6
MSFT,Dec-04,24.52
MSFT,Jan-05,24.11
MSFT,Feb-05,23.15
MSFT,Mar-05,22.24
MSFT,Apr-05,23.28
MSFT,May-05,23.82
MSFT,Jun-05,22.93
MSFT,Jul-05,23.64
MSFT,Aug-05,25.35
MSFT,Sep-05,23.83
MSFT,Oct-05,23.8
MSFT,Nov-05,25.71
MSFT,Dec-05,24.29
MSFT,Jan-06,26.14
MSFT,Feb-06,25.04
MSFT,Mar-06,25.36
MSFT,Apr-06,22.5
MSFT,May-06,21.19
MSFT,Jun-06,21.8
MSFT,Jul-06,22.51
MSFT,Aug-06,24.13
MSFT,Sep-06,25.68
MSFT,Oct-06,26.96
MSFT,Nov-06,27.66
MSFT,Dec-06,28.13
MSFT,Jan-07,29.07
MSFT,Feb-07,26.63
MSFT,Mar-07,26.35
MSFT,Apr-07,28.3
MSFT,May-07,29.11
MSFT,Jun-07,27.95
MSFT,Jul-07,27.5
MSFT,Aug-07,27.34
MSFT,Sep-07,28.04
MSFT,Oct-07,35.03
MSFT,Nov-07,32.09
MSFT,Dec-07,34
MSFT,Jan-08,31.13
MSFT,Feb-08,26.07
MSFT,Mar-08,27.21
MSFT,Apr-08,27.34
MSFT,May-08,27.25
MSFT,Jun-08,26.47
MSFT,Jul-08,24.75
MSFT,Aug-08,26.36
MSFT,Sep-08,25.78
MSFT,Oct-08,21.57
MSFT,Nov-08,19.66
MSFT,Dec-08,18.91
MSFT,Jan-09,16.63
MSFT,Feb-09,15.81
MSFT,Mar-09,17.99
MSFT,Apr-09,19.84
MSFT,May-09,20.59
MSFT,Jun-09,23.42
MSFT,Jul-09,23.18
MSFT,Aug-09,24.43
MSFT,Sep-09,25.49
MSFT,Oct-09,27.48
MSFT,Nov-09,29.27
MSFT,Dec-09,30.34
MSFT,Jan-10,28.05
MSFT,Feb-10,28.67
MSFT,Mar-10,28.8
AMZN,Jan-00,64.56
AMZN,Feb-00,68.87
AMZN,Mar-00,67
AMZN,Apr-00,55.19
AMZN,May-00,48.31
AMZN,Jun-00,36.31
AMZN,Jul-00,30.12
AMZN,Aug-00,41.5
AMZN,Sep-00,38.44
AMZN,Oct-00,36.62
AMZN,Nov-00,24.69
AMZN,Dec-00,15.56
AMZN,Jan-01,17.31
AMZN,Feb-01,10.19
AMZN,Mar-01,10.23
AMZN,Apr-01,15.78
AMZN,May-01,16.69
AMZN,Jun-01,14.15
AMZN,Jul-01,12.49
AMZN,Aug-01,8.94
AMZN,Sep-01,5.97
AMZN,Oct-01,6.98
AMZN,Nov-01,11.32
AMZN,Dec-01,10.82
AMZN,Jan-02,14.19
AMZN,Feb-02,14.1
AMZN,Mar-02,14.3
AMZN,Apr-02,16.69
AMZN,May-02,18.23
AMZN,Jun-02,16.25
AMZN,Jul-02,14.45
AMZN,Aug-02,14.94
AMZN,Sep-02,15.93
AMZN,Oct-02,19.36
AMZN,Nov-02,23.35
AMZN,Dec-02,18.89
AMZN,Jan-03,21.85
AMZN,Feb-03,22.01
AMZN,Mar-03,26.03
AMZN,Apr-03,28.69
AMZN,May-03,35.89
AMZN,Jun-03,36.32
AMZN,Jul-03,41.64
AMZN,Aug-03,46.32
AMZN,Sep-03,48.43
AMZN,Oct-03,54.43
AMZN,Nov-03,53.97
AMZN,Dec-03,52.62
AMZN,Jan-04,50.4
AMZN,Feb-04,43.01
AMZN,Mar-04,43.28
AMZN,Apr-04,43.6
AMZN,May-04,48.5
AMZN,Jun-04,54.4
AMZN,Jul-04,38.92
AMZN,Aug-04,38.14
AMZN,Sep-04,40.86
AMZN,Oct-04,34.13
AMZN,Nov-04,39.68
AMZN,Dec-04,44.29
AMZN,Jan-05,43.22
AMZN,Feb-05,35.18
AMZN,Mar-05,34.27
AMZN,Apr-05,32.36
AMZN,May-05,35.51
AMZN,Jun-05,33.09
AMZN,Jul-05,45.15
AMZN,Aug-05,42.7
AMZN,Sep-05,45.3
AMZN,Oct-05,39.86
AMZN,Nov-05,48.46
AMZN,Dec-05,47.15
AMZN,Jan-06,44.82
AMZN,Feb-06,37.44
AMZN,Mar-06,36.53
AMZN,Apr-06,35.21
AMZN,May-06,34.61
AMZN,Jun-06,38.68
AMZN,Jul-06,26.89
AMZN,Aug-06,30.83
AMZN,Sep-06,32.12
AMZN,Oct-06,38.09
AMZN,Nov-06,40.34
AMZN,Dec-06,39.46
AMZN,Jan-07,37.67
AMZN,Feb-07,39.14
AMZN,Mar-07,39.79
AMZN,Apr-07,61.33
AMZN,May-07,69.14
AMZN,Jun-07,68.41
AMZN,Jul-07,78.54
AMZN,Aug-07,79.91
AMZN,Sep-07,93.15
AMZN,Oct-07,89.15
AMZN,Nov-07,90.56
AMZN,Dec-07,92.64
AMZN,Jan-08,77.7
AMZN,Feb-08,64.47
AMZN,Mar-08,71.3
AMZN,Apr-08,78.63
AMZN,May-08,81.62
AMZN,Jun-08,73.33
AMZN,Jul-08,76.34
AMZN,Aug-08,80.81
AMZN,Sep-08,72.76
AMZN,Oct-08,57.24
AMZN,Nov-08,42.7
